RA,DEC,COADD_OBJECT_ID,DNF_ZMC_MOF,DNF_ZMC_SOF,DNF_ZMEAN_MOF,DNF_ZMEAN_SOF,DNF_ZSIGMA_MOF,DNF_ZSIGMA_SOF,EXTENDED_CLASS_MASH_SOF,FLAGS_FOOTPRINT,FLAGS_FOREGROUND,FLAGS_GOLD,SOF_CM_MAG_CORRECTED_G,SOF_CM_MAG_CORRECTED_I,SOF_CM_MAG_CORRECTED_R,SOF_CM_MAG_CORRECTED_Z,SOURCE,Z,ERR_Z,GminusR,GminusI,GminusZ,RminusI,RminusZ,IminusZ,C:objID
33.639743,-4.519896,93883514,0.14088,0.14088,0.14088,0.14088,0.001,0.001,3,1,0,0,20.39198029,19.05559176,19.43089012,18.79005532,GAMA,0.14088,-9.999,0.96109017,1.33638853,1.60192497,0.37529836,0.6408348,0.26553644,
33.613221,-5.030806,92334923,0.0773266,0.082992,0.10679346,0.10348238,0.00237849,0.00199991,3,1,0,0,17.78791423,16.44114844,16.83228255,16.14568357,GAMA,0.10655,-9.999,0.95563168,1.34676579,1.64223066,0.39113411,0.68659898,0.29546487,
35.005094,-5.481565,104670486,0.19868,0.20558099,0.20681192,0.19979618,0.01049053,0.00648623,3,1,0,0,19.47152016,17.81079383,18.23835804,17.49788634,GAMA,0.20003,-9.999,1.23316212,1.66072633,1.97363382,0.42756421,0.7404717,0.31290749,
34.210272,-4.328814,101122024,0.29146999,0.29146999,0.29146999,0.29146999,0.001,0.001,3,1,0,0,20.73317198,19.14454182,19.55768804,18.89784257,GAMA,0.29147,-9.999,1.17548394,1.58863016,1.83532941,0.41314622,0.65984547,0.24669925,
34.753798,-5.278479,101830887,0.0836394,0.0836394,0.17047641,0.17214216,0.03800461,0.03724794,3,1,0,0,20.00293036,19.29767359,19.52297946,19.21427499,GAMA,0.18208,-9.999,0.4799509,0.70525677,0.78865537,0.22530587,0.30870447,0.0833986,
35.69825,-5.321287,110503228,0.30193001,0.21753301,0.23535684,0.23048171,0.01645265,0.01115873,3,1,0,0,19.90648493,18.39258288,18.85715035,18.11742071,GAMA,0.27936,-9.999,1.04933458,1.51390205,1.78906422,0.46456747,0.73972964,0.27516217,
33.678668,-4.55775,93885603,0.22588,0.14587501,0.16388634,0.16607457,0.00772295,0.00795763,3,1,0,0,19.5260807,18.06167054,18.48105749,17.7610381,GAMA,0.13903,-9.999,1.04502321,1.46441016,1.7650426,0.41938695,0.72001939,0.30063244,
34.963661,-5.502822,104671720,0.19678999,0.32652599,0.28600743,0.27966723,0.00880456,0.01076604,3,1,0,0,20.69101523,18.98661422,19.4453555,18.68058224,GAMA,0.42677,-9.999,1.24565973,1.70440101,2.01043299,0.45874128,0.76477326,0.30603198,
33.659547,-4.559153,93885715,0.14352,0.14352,0.14352,0.14352,0.001,0.001,3,1,0,0,20.05136619,18.75173688,19.10132873,18.52910192,GAMA,0.14352,-9.999,0.95003746,1.29962931,1.52226427,0.34959185,0.57222681,0.22263496,
33.620157,-4.52904,93883684,0.0866852,0.12581301,0.11000153,0.10954789,0.00632248,0.00435576,3,1,0,0,18.17213617,16.88543628,17.29179459,16.6076874,GAMA,0.13859,-9.999,0.88034158,1.28669989,1.56444877,0.40635831,0.68410719,0.27774888,
